,Date,H_TDH_U_L2_N
110,2022-06-28T00:28:00Z,4.699353038424054
111,2022-06-28T00:29:00Z,5.229267280384242
112,2022-06-28T00:30:00Z,4.684530262425171
113,2022-06-28T00:31:00Z,4.91544131978282
114,2022-06-28T00:32:00Z,5.285084296255047
115,2022-06-28T00:33:00Z,5.893976141584296
116,2022-06-28T00:34:00Z,5.07061725602116
117,2022-06-28T00:35:00Z,5.278367725880548
118,2022-06-28T00:36:00Z,5.283694661005149
119,2022-06-28T00:37:00Z,5.219076621885003
120,2022-06-28T00:38:00Z,5.636893620353616
121,2022-06-28T00:39:00Z,5.801149291995932
122,2022-06-28T00:40:00Z,5.48496016636503
123,2022-06-28T00:41:00Z,5.286937143254905
124,2022-06-28T00:42:00Z,5.267019038006403
125,2022-06-28T00:43:00Z,5.009473305025753
126,2022-06-28T00:44:00Z,5.326078536126966
127,2022-06-28T00:45:00Z,5.195684428511765
128,2022-06-28T00:46:00Z,5.038655645273563
129,2022-06-28T00:47:00Z,5.504878271613533
130,2022-06-28T00:48:00Z,5.055331268272306
131,2022-06-28T00:49:00Z,5.255670350132254
132,2022-06-28T00:50:00Z,5.256828379507169
133,2022-06-28T00:51:00Z,5.067143167896418
134,2022-06-28T00:52:00Z,5.189662675762218
135,2022-06-28T00:53:00Z,5.3279313831268285
136,2022-06-28T00:54:00Z,5.313571818877906
137,2022-06-28T00:55:00Z,5.206801510510923
138,2022-06-28T00:56:00Z,5.39694993387164
139,2022-06-28T00:57:00Z,5.268177067381316
140,2022-06-28T00:58:00Z,5.160480335514405
141,2022-06-28T00:59:00Z,5.745563882000106
142,2022-06-28T01:00:00Z,5.281378602255322
143,2022-06-28T01:01:00Z,5.4886658603647485
144,2022-06-28T01:02:00Z,5.53498703536127
145,2022-06-28T01:03:00Z,5.689699759849643
146,2022-06-28T01:04:00Z,5.497235277739104
147,2022-06-28T01:05:00Z,6.0403510545733
148,2022-06-28T01:06:00Z,5.076639008770708
149,2022-06-28T01:07:00Z,5.358734964499512
150,2022-06-28T01:08:00Z,5.466663302241405
151,2022-06-28T01:09:00Z,5.122265366142281
152,2022-06-28T01:10:00Z,5.634809167478769
153,2022-06-28T01:11:00Z,5.40320329249617
154,2022-06-28T01:12:00Z,5.531049735486564
155,2022-06-28T01:13:00Z,5.07571258527078
156,2022-06-28T01:14:00Z,5.823567955589582
157,2022-06-28T01:15:00Z,5.5002461541138805
158,2022-06-28T01:16:00Z,5.834916643463732
159,2022-06-28T01:17:00Z,5.420342127244882
160,2022-06-28T01:18:00Z,5.4932979778644
161,2022-06-28T01:19:00Z,5.718006708400482
162,2022-06-28T01:20:00Z,5.81290269488752
163,2022-06-28T01:21:00Z,6.236411316031026
164,2022-06-28T01:22:00Z,5.386296063622441
165,2022-06-28T01:23:00Z,5.499782942363916
166,2022-06-28T01:24:00Z,5.555831564109702
167,2022-06-28T01:25:00Z,5.184104134762632
168,2022-06-28T01:26:00Z,5.513216083112907
169,2022-06-28T01:27:00Z,5.46735811986635
170,2022-06-28T01:28:00Z,5.522943529862174
171,2022-06-28T01:29:00Z,5.381663946122791
172,2022-06-28T01:30:00Z,5.280683784630377
173,2022-06-28T01:31:00Z,5.623228873729636
174,2022-06-28T01:32:00Z,5.524333165112071
175,2022-06-28T01:33:00Z,5.217223774885143
176,2022-06-28T01:34:00Z,5.416868039120143
177,2022-06-28T01:35:00Z,5.453924979117359
178,2022-06-28T01:36:00Z,5.4133939509954025
179,2022-06-28T01:37:00Z,5.916210305582629
180,2022-06-28T01:38:00Z,5.557684411109562
181,2022-06-28T01:39:00Z,5.3652199289990214
182,2022-06-28T01:40:00Z,5.706701201282686
183,2022-06-28T01:41:00Z,5.497698489489069
184,2022-06-28T01:42:00Z,5.632724714603925
185,2022-06-28T01:43:00Z,5.478475201865517
186,2022-06-28T01:44:00Z,5.517153382987611
187,2022-06-28T01:45:00Z,5.10975864889322
188,2022-06-28T01:46:00Z,4.911504019908116
