,Date,F
111,2022-06-28T00:29:00Z,49.99447047619051
112,2022-06-28T00:30:00Z,49.966167619047575
113,2022-06-28T00:31:00Z,49.97124761904762
114,2022-06-28T00:32:00Z,49.95987809523802
115,2022-06-28T00:33:00Z,49.97729523809528
116,2022-06-28T00:34:00Z,49.994712380952464
117,2022-06-28T00:35:00Z,49.9995504761905
118,2022-06-28T00:36:00Z,49.98019809523816
119,2022-06-28T00:37:00Z,49.99011619047622
120,2022-06-28T00:38:00Z,50.007775238095235
121,2022-06-28T00:39:00Z,50.0116375141243
122,2022-06-28T00:40:00Z,50.01503238095237
123,2022-06-28T00:41:00Z,50.004872380952484
124,2022-06-28T00:42:00Z,50.01358095238103
125,2022-06-28T00:43:00Z,50.02519238095245
126,2022-06-28T00:44:00Z,50.02301523809525
127,2022-06-28T00:45:00Z,49.998099047619114
128,2022-06-28T00:46:00Z,50.00463047619057
129,2022-06-28T00:47:00Z,50.00463047619057
130,2022-06-28T00:48:00Z,50.020596190476255
131,2022-06-28T00:49:00Z,50.01454857142858
132,2022-06-28T00:50:00Z,50.00753333333338
133,2022-06-28T00:51:00Z,50.008500952381
134,2022-06-28T00:52:00Z,50.01406476190479
135,2022-06-28T00:53:00Z,50.011403809523884
136,2022-06-28T00:54:00Z,50.011887619047634
137,2022-06-28T00:55:00Z,50.010920000000056
138,2022-06-28T00:56:00Z,49.98866476190477
139,2022-06-28T00:57:00Z,49.987697142857236
140,2022-06-28T00:58:00Z,49.99035809523809
141,2022-06-28T00:59:00Z,49.96538860371262
142,2022-06-28T01:00:00Z,49.95576571428572
143,2022-06-28T01:01:00Z,49.95552380952382
144,2022-06-28T01:02:00Z,49.96326476190471
145,2022-06-28T01:03:00Z,49.983584761904766
146,2022-06-28T01:04:00Z,49.95866857142857
147,2022-06-28T01:05:00Z,49.96761904761897
148,2022-06-28T01:06:00Z,49.97269904761904
149,2022-06-28T01:07:00Z,49.97995619047617
150,2022-06-28T01:08:00Z,49.97245714285711
151,2022-06-28T01:09:00Z,49.98866476190487
152,2022-06-28T01:10:00Z,49.99180952380963
153,2022-06-28T01:11:00Z,49.988180952380965
154,2022-06-28T01:12:00Z,49.987939047619165
155,2022-06-28T01:13:00Z,50.00559809523815
156,2022-06-28T01:14:00Z,50.006807619047684
157,2022-06-28T01:15:00Z,50.01479047619048
158,2022-06-28T01:16:00Z,50.01406476190476
159,2022-06-28T01:17:00Z,50.00946857142858
160,2022-06-28T01:18:00Z,50.009468571428656
161,2022-06-28T01:19:00Z,50.0116375141243
162,2022-06-28T01:20:00Z,50.014270975800194
163,2022-06-28T01:21:00Z,50.00056729620673
164,2022-06-28T01:22:00Z,50.00632380952381
165,2022-06-28T01:23:00Z,50.01092
166,2022-06-28T01:24:00Z,50.01164571428573
167,2022-06-28T01:25:00Z,50.013822857142884
168,2022-06-28T01:26:00Z,50.01624190476192
169,2022-06-28T01:27:00Z,50.017209523809576
170,2022-06-28T01:28:00Z,50.01212952380955
171,2022-06-28T01:29:00Z,50.006565714285784
172,2022-06-28T01:30:00Z,49.98576190476199
173,2022-06-28T01:31:00Z,50.001727619047664
174,2022-06-28T01:32:00Z,50.008500952380956
175,2022-06-28T01:33:00Z,50.00317904761915
176,2022-06-28T01:34:00Z,50.00269523809524
177,2022-06-28T01:35:00Z,49.99108380952376
178,2022-06-28T01:36:00Z,49.99688952380958
179,2022-06-28T01:37:00Z,50.000034285714385
180,2022-06-28T01:38:00Z,50.009952380952434
181,2022-06-28T01:39:00Z,50.0002761904763
182,2022-06-28T01:40:00Z,49.998599257465784
183,2022-06-28T01:41:00Z,50.01116190476193
184,2022-06-28T01:42:00Z,50.00487238095243
185,2022-06-28T01:43:00Z,50.01309714285714
186,2022-06-28T01:44:00Z,50.01600000000003
187,2022-06-28T01:45:00Z,50.01019428571428
188,2022-06-28T01:46:00Z,50.01092000000004
189,2022-06-28T01:47:00Z,50.003904761904835
190,2022-06-28T01:48:00Z,49.99688952380958
191,2022-06-28T01:49:00Z,50.01212952380952
192,2022-06-28T01:50:00Z,50.01285523809529
193,2022-06-28T01:51:00Z,50.015274285714284
194,2022-06-28T01:52:00Z,50.0174514285715
195,2022-06-28T01:53:00Z,50.01793523809527
196,2022-06-28T01:54:00Z,50.01503238095237
197,2022-06-28T01:55:00Z,50.01672571428572
198,2022-06-28T01:56:00Z,49.999792380952485
199,2022-06-28T01:57:00Z,50.008742857142856
200,2022-06-28T01:58:00Z,49.998099047619114
201,2022-06-28T01:59:00Z,50.00995238095239
202,2022-06-28T02:00:00Z,50.00317904761912
203,2022-06-28T02:01:00Z,49.98088690879736
204,2022-06-28T02:02:00Z,49.969796190476096
205,2022-06-28T02:03:00Z,50.000276190476285
206,2022-06-28T02:04:00Z,49.986729523809544
207,2022-06-28T02:05:00Z,49.99398666666677
208,2022-06-28T02:06:00Z,49.966651428571375
209,2022-06-28T02:07:00Z,49.97076380952372
210,2022-06-28T02:08:00Z,49.974150476190424
211,2022-06-28T02:09:00Z,49.975843809523816
212,2022-06-28T02:10:00Z,49.986245714285744
213,2022-06-28T02:11:00Z,49.96640952380943
