,Date,P_SUM
111,2022-06-28T00:29:00Z,120850.86363050413
112,2022-06-28T00:30:00Z,99633.88778171795
113,2022-06-28T00:31:00Z,105238.8031148388
114,2022-06-28T00:32:00Z,113517.27345371344
115,2022-06-28T00:33:00Z,131656.71082172295
116,2022-06-28T00:34:00Z,101658.66688529825
117,2022-06-28T00:35:00Z,110545.49124603612
118,2022-06-28T00:36:00Z,113312.93334152947
119,2022-06-28T00:37:00Z,111134.65829593648
120,2022-06-28T00:38:00Z,122632.52121946054
121,2022-06-28T00:39:00Z,131271.98770911523
122,2022-06-28T00:40:00Z,114047.44001184849
123,2022-06-28T00:41:00Z,113225.21467476411
124,2022-06-28T00:42:00Z,109965.62755502424
125,2022-06-28T00:43:00Z,110226.76871454559
126,2022-06-28T00:44:00Z,116091.03205710665
127,2022-06-28T00:45:00Z,111840.60245703883
128,2022-06-28T00:46:00Z,104963.62991564102
129,2022-06-28T00:47:00Z,125693.09362664036
130,2022-06-28T00:48:00Z,107674.46671019337
131,2022-06-28T00:49:00Z,116244.52334245064
132,2022-06-28T00:50:00Z,113354.3166576234
133,2022-06-28T00:51:00Z,105635.7706531782
134,2022-06-28T00:52:00Z,111773.2490657352
135,2022-06-28T00:53:00Z,111488.32446959314
136,2022-06-28T00:54:00Z,111918.16941965847
137,2022-06-28T00:55:00Z,104041.51920056138
138,2022-06-28T00:56:00Z,114185.0528883638
139,2022-06-28T00:57:00Z,106238.3146492501
140,2022-06-28T00:58:00Z,101763.21525179037
141,2022-06-28T00:59:00Z,122509.95398888043
142,2022-06-28T01:00:00Z,105551.8882499002
143,2022-06-28T01:01:00Z,112822.89230000183
144,2022-06-28T01:02:00Z,112648.59002947461
145,2022-06-28T01:03:00Z,113874.13825986034
146,2022-06-28T01:04:00Z,108474.2076549237
147,2022-06-28T01:05:00Z,132064.815781193
148,2022-06-28T01:06:00Z,99746.28862216929
149,2022-06-28T01:07:00Z,113590.72525165064
150,2022-06-28T01:08:00Z,114105.32273680848
151,2022-06-28T01:09:00Z,107013.7266618797
152,2022-06-28T01:10:00Z,117337.57853728246
153,2022-06-28T01:11:00Z,110773.83099731771
154,2022-06-28T01:12:00Z,115292.44496836435
155,2022-06-28T01:13:00Z,99247.79406379689
156,2022-06-28T01:14:00Z,123996.432216337
157,2022-06-28T01:15:00Z,116599.72638309856
158,2022-06-28T01:16:00Z,123074.39384593225
159,2022-06-28T01:17:00Z,103139.08008361186
160,2022-06-28T01:18:00Z,112095.48754842817
161,2022-06-28T01:19:00Z,119187.68254649996
162,2022-06-28T01:20:00Z,120312.29478978582
163,2022-06-28T01:21:00Z,132130.37829155487
164,2022-06-28T01:22:00Z,102728.7084906365
165,2022-06-28T01:23:00Z,107238.49308514777
166,2022-06-28T01:24:00Z,114349.3764167268
167,2022-06-28T01:25:00Z,99498.40965519719
168,2022-06-28T01:26:00Z,111624.24897107383
169,2022-06-28T01:27:00Z,107941.71409289938
170,2022-06-28T01:28:00Z,111642.35010767418
171,2022-06-28T01:29:00Z,108858.34856555007
