,Date,U_L1_N
111,2022-06-28T00:29:00Z,235.8956926176846
112,2022-06-28T00:30:00Z,236.1866217433352
113,2022-06-28T00:31:00Z,236.66414548978256
114,2022-06-28T00:32:00Z,236.98243176408388
115,2022-06-28T00:33:00Z,237.04374951105942
116,2022-06-28T00:34:00Z,237.24053231135377
117,2022-06-28T00:35:00Z,237.38844958405807
118,2022-06-28T00:36:00Z,237.35147026588191
119,2022-06-28T00:37:00Z,237.41108998294132
120,2022-06-28T00:38:00Z,237.62806047223987
121,2022-06-28T00:39:00Z,237.58964854125307
122,2022-06-28T00:40:00Z,238.24689804171723
123,2022-06-28T00:41:00Z,237.81616445296208
124,2022-06-28T00:42:00Z,237.66975654018324
125,2022-06-28T00:43:00Z,236.83508050135168
126,2022-06-28T00:44:00Z,236.90960514767582
127,2022-06-28T00:45:00Z,237.15072539578318
128,2022-06-28T00:46:00Z,237.27977566941817
129,2022-06-28T00:47:00Z,236.87319183947187
130,2022-06-28T00:48:00Z,236.94073569614054
131,2022-06-28T00:49:00Z,236.73301003638588
132,2022-06-28T00:50:00Z,236.77300807441316
133,2022-06-28T00:51:00Z,237.04167414116193
134,2022-06-28T00:52:00Z,237.04771158086425
135,2022-06-28T00:53:00Z,237.0531830105942
136,2022-06-28T00:54:00Z,237.32788651704513
137,2022-06-28T00:55:00Z,237.85616249098945
138,2022-06-28T00:56:00Z,237.24770177100018
139,2022-06-28T00:57:00Z,237.551460456018
140,2022-06-28T00:58:00Z,237.4352397417503
141,2022-06-28T00:59:00Z,237.6230335362166
142,2022-06-28T01:00:00Z,237.82691864243165
143,2022-06-28T01:01:00Z,237.59617524381255
144,2022-06-28T01:02:00Z,237.9787979849406
145,2022-06-28T01:03:00Z,237.858237860887
146,2022-06-28T01:04:00Z,237.70107575863855
147,2022-06-28T01:05:00Z,237.52221660746042
148,2022-06-28T01:06:00Z,237.23128748180972
149,2022-06-28T01:07:00Z,236.88734208877395
150,2022-06-28T01:08:00Z,237.15808352542027
151,2022-06-28T01:09:00Z,236.56169768483562
152,2022-06-28T01:10:00Z,236.46755135947902
153,2022-06-28T01:11:00Z,236.5884888235141
154,2022-06-28T01:12:00Z,236.3488779353323
155,2022-06-28T01:13:00Z,236.41981785183341
156,2022-06-28T01:14:00Z,236.5945262632163
157,2022-06-28T01:15:00Z,236.48339963869734
158,2022-06-28T01:16:00Z,236.30755920737022
159,2022-06-28T01:17:00Z,236.96167806510744
160,2022-06-28T01:18:00Z,237.64730481129067
161,2022-06-28T01:19:00Z,237.65776160569015
162,2022-06-28T01:20:00Z,237.90423622320827
163,2022-06-28T01:21:00Z,237.96858742086798
164,2022-06-28T01:22:00Z,237.98653345455912
165,2022-06-28T01:23:00Z,237.853898451101
166,2022-06-28T01:24:00Z,237.4280702821039
167,2022-06-28T01:25:00Z,237.36901657501647
168,2022-06-28T01:26:00Z,237.30317074826425
169,2022-06-28T01:27:00Z,237.3622244553516
170,2022-06-28T01:28:00Z,237.30713281806882
171,2022-06-28T01:29:00Z,237.1492160358577
172,2022-06-28T01:30:00Z,236.86073962008595
173,2022-06-28T01:31:00Z,236.72565190674888
174,2022-06-28T01:32:00Z,237.12034952728146
175,2022-06-28T01:33:00Z,236.80583665279403
176,2022-06-28T01:34:00Z,237.49165206896788
177,2022-06-28T01:35:00Z,237.41222200288558
178,2022-06-28T01:36:00Z,237.30524611816193
179,2022-06-28T01:37:00Z,237.1033692281189
180,2022-06-28T01:38:00Z,237.47127570997293
181,2022-06-28T01:39:00Z,237.0784647893472
182,2022-06-28T01:40:00Z,236.5533706228733
183,2022-06-28T01:41:00Z,236.6499952404805
184,2022-06-28T01:42:00Z,236.8907381486065
185,2022-06-28T01:43:00Z,237.5576865657109
186,2022-06-28T01:44:00Z,236.98016772419552
187,2022-06-28T01:45:00Z,236.8986622882157
188,2022-06-28T01:46:00Z,236.84621203080246
189,2022-06-28T01:47:00Z,236.8037612828963
190,2022-06-28T01:48:00Z,236.91356721748042
191,2022-06-28T01:49:00Z,237.6818314195878
192,2022-06-28T01:50:00Z,237.5352348368183
193,2022-06-28T01:51:00Z,237.78692060440443
194,2022-06-28T01:52:00Z,237.68768018929927
195,2022-06-28T01:53:00Z,237.26411606019045
196,2022-06-28T01:54:00Z,237.73862108678665
197,2022-06-28T01:55:00Z,237.48504861929348
198,2022-06-28T01:56:00Z,237.47636979972168
199,2022-06-28T01:57:00Z,237.46335157036367
200,2022-06-28T01:58:00Z,238.00294774374956
