,Date,RealE_SUM
111,2022-06-28T00:29:00Z,198386299.20107797
112,2022-06-28T00:30:00Z,198391894.0605472
113,2022-06-28T00:31:00Z,198397327.94050166
114,2022-06-28T00:32:00Z,198402586.05710787
115,2022-06-28T00:33:00Z,198409140.2230744
116,2022-06-28T00:34:00Z,198415149.02986792
117,2022-06-28T00:35:00Z,198420844.09087208
118,2022-06-28T00:36:00Z,198426197.4810688
119,2022-06-28T00:37:00Z,198432222.71434337
120,2022-06-28T00:38:00Z,198438080.39751047
121,2022-06-28T00:39:00Z,198444673.98703182
122,2022-06-28T00:40:00Z,198451208.4412212
123,2022-06-28T00:41:00Z,198456591.3990839
124,2022-06-28T00:42:00Z,198462506.57493508
125,2022-06-28T00:43:00Z,198468234.48890144
126,2022-06-28T00:44:00Z,198474095.45736474
127,2022-06-28T00:45:00Z,198479721.52714798
128,2022-06-28T00:46:00Z,198485464.2249474
129,2022-06-28T00:47:00Z,198491494.3861664
130,2022-06-28T00:48:00Z,198497238.72661385
131,2022-06-28T00:49:00Z,198503365.80407125
132,2022-06-28T00:50:00Z,198508949.16500378
133,2022-06-28T00:51:00Z,198514800.27757844
134,2022-06-28T00:52:00Z,198520483.84004575
135,2022-06-28T00:53:00Z,198525925.93324053
136,2022-06-28T00:54:00Z,198531698.19870594
137,2022-06-28T00:55:00Z,198537549.31128076
138,2022-06-28T00:56:00Z,198543055.46775174
139,2022-06-28T00:57:00Z,198548610.90366632
140,2022-06-28T00:58:00Z,198554107.20424896
141,2022-06-28T00:59:00Z,198559680.5144023
142,2022-06-28T01:00:00Z,198565766.72054744
143,2022-06-28T01:01:00Z,198571110.25485548
144,2022-06-28T01:02:00Z,198577258.6867384
145,2022-06-28T01:03:00Z,198582815.76530117
146,2022-06-28T01:04:00Z,198588371.2012156
147,2022-06-28T01:05:00Z,198594784.0994449
148,2022-06-28T01:06:00Z,198600773.19446075
149,2022-06-28T01:07:00Z,198606504.39372334
150,2022-06-28T01:08:00Z,198612048.33110124
151,2022-06-28T01:09:00Z,198617738.46416083
152,2022-06-28T01:10:00Z,198623594.50468004
153,2022-06-28T01:11:00Z,198629531.03495643
154,2022-06-28T01:12:00Z,198635239.2371456
155,2022-06-28T01:13:00Z,198640779.88922697
156,2022-06-28T01:14:00Z,198646471.66493475
157,2022-06-28T01:15:00Z,198653020.90295723
158,2022-06-28T01:16:00Z,198658784.9551818
159,2022-06-28T01:17:00Z,198664709.98692164
160,2022-06-28T01:18:00Z,198670485.53768325
161,2022-06-28T01:19:00Z,198676046.8203113
162,2022-06-28T01:20:00Z,198682213.82977313
163,2022-06-28T01:21:00Z,198688872.83950132
164,2022-06-28T01:22:00Z,198694936.35482943
165,2022-06-28T01:23:00Z,198700455.65248546
166,2022-06-28T01:24:00Z,198705953.59571612
167,2022-06-28T01:25:00Z,198711282.34619126
168,2022-06-28T01:26:00Z,198716887.06154916
169,2022-06-28T01:27:00Z,198722769.38443798
170,2022-06-28T01:28:00Z,198728268.97031668
171,2022-06-28T01:29:00Z,198733740.6311776
172,2022-06-28T01:30:00Z,198739581.8878636
173,2022-06-28T01:31:00Z,198745304.8738857
174,2022-06-28T01:32:00Z,198751101.77907264
175,2022-06-28T01:33:00Z,198756828.0503908
176,2022-06-28T01:34:00Z,198762664.37913257
177,2022-06-28T01:35:00Z,198768142.61058578
178,2022-06-28T01:36:00Z,198773537.06698546
179,2022-06-28T01:37:00Z,198779577.08409297
180,2022-06-28T01:38:00Z,198785429.8393158
181,2022-06-28T01:39:00Z,198791341.72987077
182,2022-06-28T01:40:00Z,198797204.09040865
183,2022-06-28T01:41:00Z,198802797.5578033
184,2022-06-28T01:42:00Z,198808862.21463254
185,2022-06-28T01:43:00Z,198815137.1304203
186,2022-06-28T01:44:00Z,198820911.03853354
187,2022-06-28T01:45:00Z,198826857.4246989
188,2022-06-28T01:46:00Z,198832780.81379038
189,2022-06-28T01:47:00Z,198838359.2467785
190,2022-06-28T01:48:00Z,198844578.31253052
191,2022-06-28T01:49:00Z,198850227.37938744
192,2022-06-28T01:50:00Z,198856181.97879308
193,2022-06-28T01:51:00Z,198861863.89861238
194,2022-06-28T01:52:00Z,198867555.67432016
195,2022-06-28T01:53:00Z,198873574.3370023
196,2022-06-28T01:54:00Z,198879550.29083347
197,2022-06-28T01:55:00Z,198885478.60786936
198,2022-06-28T01:56:00Z,198890961.76726696
199,2022-06-28T01:57:00Z,198896832.5916191
200,2022-06-28T01:58:00Z,198902862.75283796
201,2022-06-28T01:59:00Z,198909139.31127372
202,2022-06-28T02:00:00Z,198914813.01785237
203,2022-06-28T02:01:00Z,198920619.8624526
204,2022-06-28T02:02:00Z,198926413.39881888
205,2022-06-28T02:03:00Z,198931952.40825224
206,2022-06-28T02:04:00Z,198937972.71358258
207,2022-06-28T02:05:00Z,198944094.86309558
208,2022-06-28T02:06:00Z,198949436.75475577
209,2022-06-28T02:07:00Z,198954813.142026
210,2022-06-28T02:08:00Z,198960473.70741975
211,2022-06-28T02:09:00Z,198966326.4626426
212,2022-06-28T02:10:00Z,198971927.89270428
213,2022-06-28T02:11:00Z,198977795.43176004
214,2022-06-28T02:12:00Z,198984254.32413623
215,2022-06-28T02:13:00Z,198989190.48171258
216,2022-06-28T02:14:00Z,198994593.15135276
217,2022-06-28T02:15:00Z,199000460.6904085
218,2022-06-28T02:16:00Z,199005551.2569075
219,2022-06-28T02:17:00Z,199011024.56041646
220,2022-06-28T02:18:00Z,199016826.3935478
221,2022-06-28T02:19:00Z,199021535.86568472
222,2022-06-28T02:20:00Z,199026117.21126878
223,2022-06-28T02:21:00Z,199030763.5945816
224,2022-06-28T02:22:00Z,199035582.14968982
225,2022-06-28T02:23:00Z,199040188.13499576
226,2022-06-28T02:24:00Z,199044907.4630213
227,2022-06-28T02:25:00Z,199049694.13961947
228,2022-06-28T02:26:00Z,199054469.31768093
229,2022-06-28T02:27:00Z,199059208.3574838
230,2022-06-28T02:28:00Z,199064384.34168452
231,2022-06-28T02:29:00Z,199069458.48170227
232,2022-06-28T02:30:00Z,199074448.84666649
233,2022-06-28T02:31:00Z,199079564.05288687
234,2022-06-28T02:32:00Z,199084787.67388284
235,2022-06-28T02:33:00Z,199090527.08638605
236,2022-06-28T02:34:00Z,199095824.626547
237,2022-06-28T02:35:00Z,199101209.2270579
238,2022-06-28T02:36:00Z,199106557.68931034
239,2022-06-28T02:37:00Z,199111983.35602403
240,2022-06-28T02:38:00Z,199118008.58929864
241,2022-06-28T02:39:00Z,199123890.91218746
242,2022-06-28T02:40:00Z,199129661.53500465
243,2022-06-28T02:41:00Z,199135212.04297486
244,2022-06-28T02:42:00Z,199140586.59270668
245,2022-06-28T02:43:00Z,199146099.5146608
246,2022-06-28T02:44:00Z,199152262.73037678
247,2022-06-28T02:45:00Z,199157795.16921768
248,2022-06-28T02:46:00Z,199163629.8553114
249,2022-06-28T02:47:00Z,199169339.70014846
250,2022-06-28T02:48:00Z,199175197.3833157
251,2022-06-28T02:49:00Z,199181508.43736172
252,2022-06-28T02:50:00Z,199187300.41460428
253,2022-06-28T02:51:00Z,199193167.33430105
254,2022-06-28T02:52:00Z,199199037.02399817
255,2022-06-28T02:53:00Z,199204881.67734635
256,2022-06-28T02:54:00Z,199211131.95341235
257,2022-06-28T02:55:00Z,199216996.2071719
258,2022-06-28T02:56:00Z,199222671.55639857
259,2022-06-28T02:57:00Z,199228470.1042337
260,2022-06-28T02:58:00Z,199234446.05806488
